Question,Answer,Correct,Title
Which of the following is FALSE regarding random forest models?  ,"Random forest models require feature normalization (i.e. scaling the features such that they are between 0 and 1) in order to work effectively

Random forest models learn multiple decision trees that each learn on a subset of the available features

Random forest models are highly interpretable

Random forest models are a type of decision tree algorithm",Random forest models require feature normalization (i.e. scaling the features such that they are between 0 and 1) in order to work effectively,"Phase 2. Project 2

Graded Quiz
.
 • 30 min

DueJul 30, 11:59 PM +07"
Suppose you developed a rare medical condition and your doctor suggested conducting a data-mining procedure similar to that we discussed for our example patient Laura. How would you feel about using that information to guide your treatment? What else would you want to know?,,,"Knowledge Check

Practice Quiz
.
 • 30 min
.
 • 
3 total points available.
3 total points"
The workflow of which group within the US healthcare system would be impacted most immediately from an artificial intelligence tool that increased a physician’s ability to accurately diagnose breast cancer from imaging?,"Private insurance companies

Specialty physicians

Government intermediaries

Nurse practitioners",Specialty physicians,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
"Assume a patient has an upcoming medical procedure that will cost $1000.  
 
 

Suppose the patient is in a health plan with a $500 deductible, after which 20% coinsurance applies.  Suppose that the patient has previously had $2000 in health care expenses in the year.  How much can the patient expect to pay out of pocket for this procedure?
 

$_______

Please write the answer in numeric form. No need to add a dollar sign.",,,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Why would one use an RNN instead of a fully connected network (DNN)?,"DNNs use word embeddings in order to process text, but RNNs can process text directly.

RNNs can handle variable sized inputs.

DNNs can only comprise of a single hidden layer, and RNNs can comprise of many hidden layers.

RNNs use gradient descent in order minimize loss, and DNNs do not.",RNNs can handle variable sized inputs.,"Final Assessment

Graded Quiz
.
 • 1h

DueJul 30, 11:59 PM +07"
What happens when the model is underfitting?,"It achieves bad performance on training data, and on unseen data.

It achieves good performance on training data, and on unseen data.

It achieves good performance on unseen data, but not on the training set.

It achieves good performance on training data, but not on unseen data.","It achieves bad performance on training data, and on unseen data.","Final Assessment

Graded Quiz
.
 • 1h

DueJul 30, 11:59 PM +07"
Which of the following is an approach to evaluate the interpretability of a trained deep learning model?,"Feature data spotting

Visibility sectors

Saliency maps

Color topography",Saliency maps,"Final Assessment

Graded Quiz
.
 • 1h

DueJul 30, 11:59 PM +07"
Which of the following best describes the relationship of data label noise in machine learning?,"Weak supervision is a machine learning training technique that optimizes training models with noisy labels

Prior work on data noise has found that if a model is trained with 15% label error (noise) more than 4x data volume was required to achieve optimal performance

Regression models typically are more tolerant to training data noise than neural networks. 

Machine learning applications are more intolerant to noise in data labeling with increasing data volume",Weak supervision is a machine learning training technique that optimizes training models with noisy labels,"Final Assessment

Graded Quiz
.
 • 1h

DueJul 30, 11:59 PM +07"
Suppose you develop a serious medical condition that definitely requires treatment. What kind of data would you want to use to guide picking a doctor for this? What part of the healthcare system would produce these data?,,,"Knowledge Check

Practice Quiz
.
 • 30 min
.
 • 
3 total points available.
3 total points"
The team split the data into two partitions: the training set and the test set. It is considered best practice to have a third partition– the validation set. What added utility is there in having a validation set? Check all that apply.,"The validation set can be used for early stopping

The validation set can be used for updating the model directly

The test set should be used for final evaluation only

The validation set can be used for tuning hyperparameters","The validation set can be used for early stopping

The test set should be used for final evaluation only

The validation set can be used for tuning hyperparameters","Phase 2. Project 1

Graded Quiz
.
 • 30 min

DueJul 30, 11:59 PM +07"
"The team split the data randomly, without accounting for the patient to whom each exam belongs. Why would this be a problem? Recall: “The COVID dataset consists of 30,000 exams across 21,000 patients (some patients may be associated with multiple exams)”  ","Patient overlap between the training and test sets may lead to inflated model performance due to unrealistic evaluation conditions

Patient overlap between the training and test sets may lead to problems with model convergence due to exposure to the test set

Patient overlap between the training and test sets may lead to problems with model bias because of the underrpresentation of certain patient demographics in the training set

Patient overlap between the training and test sets may lead to the leakage of PHI or other sensitive data",Patient overlap between the training and test sets may lead to inflated model performance due to unrealistic evaluation conditions,"Phase 2. Project 1

Graded Quiz
.
 • 30 min

DueJul 30, 11:59 PM +07"
The team downsized the images to 224 by 224 pixels. Why might this lead to worse model performance?,"Many publicly available models use 224 by 224 pixel images

The discriminative features in the image may be too small to identify without a higher resolution

224 by 224 pixel chest x-rays are easier to classify than 3000 by 3000 pixel chest x-rays

Memory constraints may limit the model’s ability to process high-resolution images",The discriminative features in the image may be too small to identify without a higher resolution,"Phase 2. Project 1

Graded Quiz
.
 • 30 min

DueJul 30, 11:59 PM +07"
Why are Convolutional Neural Networks (CNN) particularly well suited for image classification tasks? Check all that apply.  ,"CNN architectures leverage multiple decision trees in order to make their predictions more robust

CNN architectures are parameter-efficient because they use the same set of weights on each region of the image

CNN architectures can condition on previous timesteps, which it takes as input in addition to the images themselves

CNN architectures take advantage of feature locality through the use of filters","CNN architectures are parameter-efficient because they use the same set of weights on each region of the image

CNN architectures take advantage of feature locality through the use of filters","Phase 2. Project 1

Graded Quiz
.
 • 30 min

DueJul 30, 11:59 PM +07"
What learning phenomena is the team observing?,"Convergence

Underfitting

Overfitting

Generalization",Underfitting,"Phase 2. Project 1

Graded Quiz
.
 • 30 min

DueJul 30, 11:59 PM +07"
Which if the following definitions best describe the AUROC metric? ,"How well the model is able to segment objects

How many of the samples predicted positive are actually positive

How many positive samples are correctly predicted as positive

How well separated the predicted probabilities of negatives are from positives",How well separated the predicted probabilities of negatives are from positives,"Phase 4. Project 1

Graded Quiz
.
 • 30 min

DueAug 13, 11:59 PM +07"
Why might model B be more useful than model A in worklist prioritization?,"Model B is not more useful than model A

Model B places more abnormal exams early in the worklist than model A

Model B places more normal exams early in the worklist than model A

Model B places fewer abnormal exams at the end of the worklist than model A",Model B places more abnormal exams early in the worklist than model A,"Phase 4. Project 1

Graded Quiz
.
 • 30 min

DueAug 13, 11:59 PM +07"
How might both models be leveraged in order to produce a better performance immediately overall?,"The models can be re-trained using the same hyperparameters

The trained models can be used to train other models

For new exams, the predictions of both models can be averaged together  

Each model can be deployed at separate clinics","For new exams, the predictions of both models can be averaged together  ","Phase 4. Project 1

Graded Quiz
.
 • 30 min

DueAug 13, 11:59 PM +07"
"How can we represent a patient’s electronic health record, a form of structured data, to a machine learning model?","As a 1-dimensional vector, where each number is a hand-picked feature

As a 1-dimensional vector, where each number is pixel intensity

As a sequence of 1-dimensional vectors, where each number is pixel intensity

As layers of number grids, where each number is pixel intensity","As a 1-dimensional vector, where each number is a hand-picked feature","Phase 1. Project 2

Graded Quiz
.
 • 30 min

DueJul 23, 11:59 PM +07"
"Given the type of data available, which of the following are reasonable alternative framings of task at hand, from a machine learning perspective? Check all that apply.  ","A model that predicts the number of days before a patient requires invasive mechanical ventilation. This model would be trained only on patients who required invasive mechanical ventilation.

A model that predicts what range of days it will take for a patient to require invasive mechanical ventilation. The 4 categories include: [“0-4 days”, “5-9 days”, “10-14 days”, “14+ days or will not need one”]

A regression model that predicts the patient’s date of death.

A binary classification model that predicts whether or not the patient will require hospitalization.","A model that predicts the number of days before a patient requires invasive mechanical ventilation. This model would be trained only on patients who required invasive mechanical ventilation.

A model that predicts what range of days it will take for a patient to require invasive mechanical ventilation. The 4 categories include: [“0-4 days”, “5-9 days”, “10-14 days”, “14+ days or will not need one”]","Phase 1. Project 2

Graded Quiz
.
 • 30 min

DueJul 23, 11:59 PM +07"
"Given that we are training a model to predict whether or not the patient requires invasive mechanical ventilation, which of these values should NOT be passed into the model as a feature?  Check all that apply.","Ventilator setting

Ferritin

Invasive mechanical ventilation date

Patient inpatient arrival date

Patient birth date

D-DIMER

White Blood Cell count","Ventilator setting

Invasive mechanical ventilation date","Phase 1. Project 2

Graded Quiz
.
 • 30 min

DueJul 23, 11:59 PM +07"
Imagine the path that the patient data took through the healthcare system. What are some possible errors that might have gotten introduced to the data before it was published? Check all that apply.  ,"Labs are logged AFTER the invasive mechanical ventilation

The patient was a recent transfer from another system

The patient comes to ED and gets immediately intubated, thus no labs are provided

The patient had been to the hospital multiple times","Labs are logged AFTER the invasive mechanical ventilation

The patient was a recent transfer from another system

The patient comes to ED and gets immediately intubated, thus no labs are provided","Phase 1. Project 2

Graded Quiz
.
 • 30 min

DueJul 23, 11:59 PM +07"
Suppose we could develop the technology to record nearly all medically-relevant events on a very fine timescale (much less than a second). Do you think this system would make it easier or harder to answer clinical research questions?,,,"Knowledge Check

Practice Quiz
.
 • 30 min
.
 • 
2 total points available.
2 total points"
True or false: PPOs restrict choice for patients more than HMOs.  ,"True

False",False,"Reflection Exercise

Practice Quiz
.
 • 10 min
.
 • 
1 total point available.
1 total point"
"As part of addressing your clinical research question, you need to write software that looks up names for diseases. Which of the following knowledge graphs would you choose for this?","Current Procedural Terminology (CPT)

Logical Observation Identifiers Names and Codes (LOINC)

Anatomic Therapeutic Chemical Classification System (ATC)

Unified Medical Language System (UMLS)

None of the above are a good choice.",Unified Medical Language System (UMLS),"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following statements about feature engineering is true?,"Standardizing a feature means that we are sure that everyone refers to it by the same name.

Having more features is a good way to increase patient privacy.

If a feature has the same value for all patients, it should be kept in the analysis to provide a baseline measurement.

Multiple imputation is a technique used to estimate the fraction of the dataset that is missing.

None of the above statements are true.",None of the above statements are true.,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following is true about observational data?,"Observational datasets provide complete coverage of a patient's medical treatment.

Observational datasets all use the same standard format.

Observational datasets can contain biases. 

Observational data make it easy to infer causes of diseases.

None of the above are true.",Observational datasets can contain biases. ,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following is not part of the clinical evaluation of an AI solution?,"Analytical evaluation

System evaluation

Clinical evaluation

Clinical association",System evaluation,"Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
"We discussed in detail the Obermeyer paper (Obermeyer, Z., Powers, B., Vogeli, C., & Mullainathan, S. (2019). 
Dissecting racial bias in an algorithm used to manage the health of populations
. Science, 366(6464), 447-453.) What type of bias was identified in the paper regarding hospital resource allocation?","Measurement Bias

Historical Bias

Deployment Bias

Representation Bias",Measurement Bias,"Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
True or false: It is possible for the physician portion of a payment to be paid via a different mechanism (e.g. fee-for-service) than the facility portion,"True

False",True,"Knowledge Check

Practice Quiz
.
 • 30 min
.
 • 
3 total points available.
3 total points"
"An ideal randomized controlled clinical trial can produce results with very little bias. However, there are some questions that will never be answered using clinical trials. Think about why that might be true. Do you feel comfortable that such questions will only be addressed using observational data?",,,"Knowledge Check

Practice Quiz
.
 • 30 min
.
 • 
3 total points available.
3 total points"
How are images commonly represented when given to a deep learning model?  ,"As a sequence of 1-dimensional vectors, where each number is pixel intensity

As a 1-dimensional vector, where each number is pixel intensity

As layers of number grids, where each number is pixel intensity

As a 1-dimensional vector, where each number is a hand-picked feature","As layers of number grids, where each number is pixel intensity","Phase 1. Project 1

Graded Quiz
.
 • 30 min

DueJul 23, 11:59 PM +07"
What deep neural network architecture is most commonly used for image classification? ,"Convolutional Neural Network (CNN)

Multi-layer Perceptron (MLP)

Recurrent Neural Network (RNN)

Generative Adversarial Network (GAN)",Convolutional Neural Network (CNN),"Phase 1. Project 1

Graded Quiz
.
 • 30 min

DueJul 23, 11:59 PM +07"
What is the kind of question being answered via the COVID detector?,"Sequence-to-sequence translation

Binary classification

Linear regression

Multi-label classification",Binary classification,"Phase 1. Project 1

Graded Quiz
.
 • 30 min

DueJul 23, 11:59 PM +07"
You are interested in further leveraging hospital resources in order to boost the performance of your COVID detector. Which of the following actions would improve the likelihood of a high performing model? Check all that apply.  ,"Giving the machine learning team a large dataset of chest x-rays, even if they do not originate from COVID-positive patients.

Giving the machine learning team segmentation labels for a small subset of the COVID chest x-ray dataset.

Giving the machine learning team the text reports associated with each of the COVID chest x-ray examinations.

Giving the machine learning team access to an existing COVID detector.","Giving the machine learning team a large dataset of chest x-rays, even if they do not originate from COVID-positive patients.

Giving the machine learning team segmentation labels for a small subset of the COVID chest x-ray dataset.

Giving the machine learning team the text reports associated with each of the COVID chest x-ray examinations.

Giving the machine learning team access to an existing COVID detector.","Phase 1. Project 1

Graded Quiz
.
 • 30 min

DueJul 23, 11:59 PM +07"
